City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
411,manga,11.6636,-1.0731,81.37,31,4,7.85,BF,1731630344
412,puerto armuelles,8.2833,-82.8667,75.09,92,100,4.0,PA,1731630345
413,kyustendil,42.2839,22.6911,39.74,95,100,3.94,BG,1731630348
414,pangai,-19.8,-174.35,80.71,74,40,14.97,TO,1731630140
415,manismata,-2.4667,111.0333,76.68,95,100,3.13,ID,1731630350
416,al jawf,29.5,38.75,63.21,50,53,9.33,SA,1731630351
417,greymouth,-42.4667,171.2,57.63,98,100,13.71,NZ,1731630352
418,bamboo flat,11.7,92.7167,77.09,100,40,2.3,IN,1731630353
419,ust'-kulom,61.6864,53.6902,32.85,95,100,9.93,RU,1731630355
420,kamyzyak,46.11,48.0736,35.58,93,0,6.71,RU,1731630356
421,portland,45.5234,-122.6762,52.09,89,89,3.0,US,1731630357
422,katy wroclawskie,51.031,16.7677,43.9,94,75,13.8,PL,1731630358
423,mahriz,31.5917,54.4318,45.23,63,4,1.5,IR,1731630359
424,negotino,41.4839,22.0892,41.32,83,100,3.2,MK,1731630164
425,dunedin,-45.8742,170.5036,50.81,99,100,15.01,NZ,1731630362
426,arilje,43.7531,20.0956,33.93,96,99,0.4,RS,1731630363
427,barra de santo antonio,-9.4047,-35.5072,77.67,78,56,10.13,BR,1731630364
428,east london,-33.0153,27.9116,61.61,88,55,9.98,ZA,1731630365
429,queenstown,-31.8976,26.8753,52.84,90,52,1.45,ZA,1731630366
430,makoua,0.0069,15.6333,71.89,98,99,3.18,CG,1731630367
431,nadym,65.5333,72.5167,8.17,94,100,20.8,RU,1731630368
432,hola,51.5377,23.1902,38.62,97,100,10.6,PL,1731630371
433,pacasmayo,-7.4006,-79.5714,64.81,83,66,10.94,PE,1731630372
434,vodnyy,63.5046,53.4095,33.55,98,100,9.01,RU,1731630373
435,tera,14.0078,0.7531,81.46,23,2,9.08,NE,1731630374
436,bankura,23.25,87.0667,66.79,53,9,5.44,IN,1731630375
437,macheng,31.1783,115.0319,66.13,76,1,4.61,CN,1731630376
438,quellon,-43.1167,-73.6167,51.85,91,100,9.51,CL,1731630377
439,tarawa,1.419,172.984,89.69,62,20,10.36,KI,1731630379
440,busselton,-33.65,115.3333,62.17,64,100,14.58,AU,1731630380
441,jackson,42.4165,-122.8345,46.85,86,100,4.61,US,1731630194
442,usogorsk,63.4106,48.6872,33.51,98,100,7.4,RU,1731630382
443,dzepciste,42.0328,21.0,38.75,96,100,2.86,MK,1731630383
444,anadarko,35.0726,-98.2437,58.84,53,0,8.88,US,1731630384
445,robore,-18.3333,-59.75,70.45,64,10,2.75,BO,1731630385
446,antsiranana,-12.2787,49.2917,77.4,81,31,12.26,MG,1731630386
447,alaghsas,17.0187,8.0168,76.33,13,87,12.5,NE,1731630388
448,ancud,-41.8697,-73.8203,53.31,97,100,18.39,CL,1731630389
449,al khafji,28.4391,48.4913,69.26,44,72,10.98,SA,1731630390
450,mount gambier,-37.8333,140.7667,63.16,44,67,6.06,AU,1731630391
